trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
262,False,"{'a': 0.5, 'e': 0.20540882414573047}",20,4,16.642854660618532,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.20417637120085608}",20,5,-13.047078660152241,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
264,False,"{'a': 0.5, 'e': 0.20295131297365096}",30,9,24.32446410023697,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.20173360509580904}",20,0,15.031346171492828,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
266,False,"{'a': 0.5, 'e': 0.20052320346523417}",20,10,16.759475840669996,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.1993200642444428}",20,2,-14.583905781140142,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.19812414385897612}",20,10,20.783870730093163,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.19693539899582227}",20,12,4.531845906926174,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.19575378660184733}",20,0,18.67102004139199,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
271,False,"{'a': 0.5, 'e': 0.19457926388223623}",25,11,-14.878410628988583,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.19341178829894282}",20,11,9.560856422139562,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.19225131756914915}",20,4,24.721933730893465,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.19109780966373427}",20,8,25.060031111559635,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.18995122280575186}",25,20,8.807258908230269,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.18881151546891736}",20,10,9.515710231261464,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.18767864637610385}",20,0,-6.916820463162864,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
278,False,"{'a': 0.5, 'e': 0.1865525744978472}",30,13,-13.382713400935492,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
279,False,"{'a': 0.5, 'e': 0.18543325905086014}",30,7,-4.972240405200752,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
280,False,"{'a': 0.5, 'e': 0.18432065949655496}",30,18,0.6141300539210011,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.18321473553957565}",20,7,-62.263889197470654,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
282,False,"{'a': 0.5, 'e': 0.18211544712633818}",30,2,31.77835133090427,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.18102275444358015}",25,0,-50.0562245985161,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
